,0
840,ஒன்று
841,மகிழ
842,மர
843,தாமரை பூ
844,சோம்பு
845,மிளகை
846,பழகு
847,ஆமணம் விதை
848,சொட்டு
849,அல்லி
850,அமுக்கரா
851,தட்டிப்போட்டு
852,நாரம்
853,நன்னாரி
854,இலந்தை
855,வழுக்கு
856,பிஸ்தா பருப்பு
857,காயை
858,பேய்
859,வில்வம்
860,தாய்ப்பு
861,மரப்பட்டை
862,மிளகு
863,நெல்லிக்கனி
864,சர்க்கீரை
865,அரை
866,வாய்விளம்
867,இரேவல்
868,வேப்பம்
869,கிழங்கு
870,உத்தாமணி இலை
871,சுண்ணாம்பு
872,விஷ்ணுக்கிரந்தி
873,பேரீச்சம்பழம்
874,சோறு
875,கசக்கி
876,இதம்
877,காயவை பொடி
878,வேப்பம் இலை
879,மணி
880,பாயசம்
881,இரண்டையும்
882,எரு
883,வில்வ இலை
884,எள்
885,புளியம்
886,ஊறவை
887,விஷ்ணுக்கிராந்தி
888,ச
889,நிலாவரை
890,தும்மட்டி
891,சமஅளவு
892,பொன்னாங்கண்ணி
893,வெண்
894,மாம்பு
895,தண்ணீரை
