,0,1,2,3,4,5,6,7,8,9,10
மர வேர்பு,,,,,,,,,,,
துத்தி இலை,அத்தி இலை,உத்தாமணி இலை,துத்தி கீரை,,,,,,,,
பரு,எரு,,,,,,,,,,
காயவை,,,,,,,,,,,
விளாம்,விளா,,,,,,,,,,
மகிழம் பூ,மகிழ மரப்,மாம் பூ,,,,,,,,,
பாவட்டை,பரட்டை,,,,,,,,,,
சீரகம்,அசோகம்,அருகம்,சீர்,சரகம்,,,,,,,
று,,,,,,,,,,,
எண்ணிக்கை,,,,,,,,,,,
பாற்சொரிக்,,,,,,,,,,,
நார்,நாய்,நாரம்,,,,,,,,,
ஆரை,அரை,ரை,ஆனை,,,,,,,,
நரம்பு,பாம்பு,சர்பு,சோம்பு,மாம்பு,வசம்பு,செம்பு,நாரம்,மரம்து,,,
குருந்தொட்டி,,,,,,,,,,,
பப்பாளிச்,பப்பாளிப்,பப்பாளிக்,,,,,,,,,
புண்,புண்கு,,,,,,,,,,
குடை,குழை,,,,,,,,,,
சக்தி,அகம்தி,கசக்கி,,,,,,,,,
ஆடையொட்டி,,,,,,,,,,,
கீரை கீரை,வேளை கீரை,முளை கீரை,பசலை கீரை,அரை கீரை,வேர் கீரை,,,,,,
தனியாவை,,,,,,,,,,,
குப்பைமேனி,,,,,,,,,,,
அன்னாசிப் பழம்,,,,,,,,,,,
தினம்,,,,,,,,,,,
மாங்கொட்,,,,,,,,,,,
ஓமம்து,ஓமத்தை,மாம்பு,ஓமம்,அகம்து,,,,,,,
வற்றலை,வத்தலை,வற்றல்,வெற்றிலை,சாற்றை,வற்று,,,,,,
வெள்ளரி வேர்பு,,,,,,,,,,,
அரிசி,,,,,,,,,,,
மாம் பூ,மாம்பு,மகிழம் பூ,,,,,,,,,
எண்ணெ,எண்ணெய்,,,,,,,,,,
இரண்டு,பூண்டு,துண்டு,,,,,,,,,
தைலமாக்கி,மாக்கிக்,,,,,,,,,,
முந்திரி பருப்பு,வெள்ளரி பருப்பு,செம்பருத்தி பருப்பு,,,,,,,,,
மணத்தக்காளி கீரை,,,,,,,,,,,
வேளை,,,,,,,,,,,
அகத்தி,இத்தி,சக்தி,அகத்தி பூ,துத்தி,அத்திப்,அத்தி,அகம்து,அகம்தி,,,
உன்,,,,,,,,,,,
வாய்விளங்கம்,வாய்விளம்,மாவிலங்கம்,,,,,,,,,
பற்,,,,,,,,,,,
தாமரை,,,,,,,,,,,
எலுமிச்சை இலை,,,,,,,,,,,
புளி,,,,,,,,,,,
பாதாம் பருப்பு,பிஸ்தா பருப்பு,நாவல் பருப்பு,பாசிப் பருப்பு,மாம்பருப்பு,துவரம் பருப்பு,,,,,,
சாறு,சோறு,,,,,,,,,,
ஆடாதொடா,ஆடாதொடை,,,,,,,,,,
முள்,முளை,முள்ளி,,,,,,,,,
சிவப்பு,கறிவேப்பு,,,,,,,,,,
பயறு,பயறை,,,,,,,,,,
நெல்லிக்காய் பொடி,நெல்லிக்காய் விதை,,,,,,,,,,
கீர்,கீரை,,,,,,,,,,
புங்கம்,புண்கள்,லவங்கம்,,,,,,,,,
பங்கு,புண்கு,பறங்கு,நுங்கு,பாக்கு,,,,,,,
பச்சை,பிஞ்சை,பூச்சி,பச்சிலை,,,,,,,,
எலுமிச்சம்,எலுமிச்சம் பழம்,எலுமிச்சன்,,,,,,,,,
விதைப்பருப்பு,பாசிப் பருப்பு,,,,,,,,,,
மொச்சைக்கொட்டை,,,,,,,,,,,
கட்டி,கொட்டை,கட்டு,காட்டு,,,,,,,,
பொன்னாவரைக் கீரை,பொன்னாங்கண்ணிக் கீரை,,,,,,,,,,
மிளகாயை,மிளகாய்ச்,மிளகை,மிளகாய்,,,,,,,,
இசம்,இதம்,செம்,இஞ்சம்,,,,,,,,
சர்பு,வசம்பு,செம்பு,நரம்பு,சோம்பு,,,,,,,
செம்பருத்தி,செம்பருத்தி பூ,,,,,,,,,,
காது,,,,,,,,,,,
தூள்,தூளை,,,,,,,,,,
பருத்தி,பழுத்த,துத்தி,,,,,,,,,
முட்டைக்கோஸாடன்,,,,,,,,,,,
கொத்தம்ல்,,,,,,,,,,,
ஆட்டு,கட்டு,உதட்டு,காட்டு,சொட்டு,,,,,,,
சிலாசத்து,,,,,,,,,,,
கடுகை,,,,,,,,,,,
கடல்,கல்,குடல்,கடலை,,,,,,,,
கீரைத்தா,,,,,,,,,,,
முடக்கம் கீரை,சுக்காங் கீரை,முள்ளிக்கீரை,,,,,,,,,
பசு,பரு,பசை,,,,,,,,,
தூளை,மூளை,,,,,,,,,,
மருதாணி இலை,,,,,,,,,,,
வால்,வாய்,பால்,,,,,,,,,
முருங்கை கீரை,முள்ளங்கி கீரை,முருங்கை பட்டை,கல்யாணமுருங்கை கீரை,முடக்கம் கீரை,முருங்கைக்கா,,,,,,
பப்பாளிப்,பப்பாளிச்,பப்பாளிக்,,,,,,,,,
முட்டை,மருட்டி,மொட்டை,பட்டை,பரட்டை,துண்டை,கட்டை,கொட்டை,மொட்டு,,,
லவங்கப்பட்டை,லவங்கம்பட்டை,லவங்கம் பட்டை,,,,,,,,,
கருப்பட்டி,மரப்பட்டை,பருப்புடன்,,,,,,,,,
